NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
GDAP1,GDAP1,null,null,0.06314475
PPP2R3C,PPP2R3C,null,null,0.0631447
ZNF136,ZNF136,null,null,0.062941805
ZC4H2,ZC4H2,null,null,0.06288569
GNL3L,GNL3L,null,null,0.06288336
DCAF16,DCAF16,null,null,0.06280797
C12orf45,C12orf45,null,null,0.06275363
NAA25,NAA25,null,null,0.06268777
CFAP44,CFAP44,null,null,0.06265367
HERC3,HERC3,null,null,0.06264173
C9orf16,C9orf16,null,null,0.0626117
ELOA,ELOA,null,null,0.06261085
SLF1,SLF1,null,null,0.062466636
C11orf58,C11orf58,null,null,0.062452193
BAZ2B,BAZ2B,null,null,0.06241507
STAG1,STAG1,null,null,0.062323846
PLEKHA2,PLEKHA2,null,null,0.062181063
PAPOLG,PAPOLG,null,null,0.062170282
LBHD1,LBHD1,null,null,0.062148314
ATP5MD,ATP5MD,null,null,0.062033635
MRPL32,MRPL32,null,null,0.061984807
ZNF407,ZNF407,null,null,0.061860748
NDUFAF8,NDUFAF8,null,null,0.061852466
ZNF124,ZNF124,null,null,0.061821066
CDC40,CDC40,null,null,0.061805673
DNAJB14,DNAJB14,null,null,0.061740477
ASB7,ASB7,null,null,0.061710726
ARPP19,ARPP19,null,null,0.06171046
IFI27L2,IFI27L2,null,null,0.061577134
UQCRH,UQCRH,null,null,0.06149377
MED20,MED20,null,null,0.061435107
PDIK1L,PDIK1L,null,null,0.06143415
RBM41,RBM41,null,null,0.061422624
CCDC112,CCDC112,null,null,0.06141083
DCAF13,DCAF13,null,null,0.061402507
ORC4,ORC4,null,null,0.061345026
MDP1,MDP1,null,null,0.06134016
MAP3K14,MAP3K14,null,null,0.06130732
TRMT112,TRMT112,null,null,0.061302014
MRPL27,MRPL27,null,null,0.061259966
RAP2C,RAP2C,null,null,0.061046824
NEIL3,NEIL3,null,null,0.060993455
SPRYD4,SPRYD4,null,null,0.06095102
DLGAP5,DLGAP5,null,null,0.060896248
MTMR6,MTMR6,null,null,0.060885575
SNX12,SNX12,null,null,0.060724907
ATL2,ATL2,null,null,0.060721464
MPHOSPH6,MPHOSPH6,null,null,0.060682725
WDR82,WDR82,null,null,0.0606303
CASP8,CASP8,null,null,0.060572956
EIF4E2,EIF4E2,null,null,0.060511854
KIF3A,KIF3A,null,null,0.060488198
CALM2,CALM2,null,null,0.060429107
RBAK,RBAK,null,null,0.060419746
RILPL2,RILPL2,null,null,0.060401633
ZNF280C,ZNF280C,null,null,0.06038417
MRPL20,MRPL20,null,null,0.06037857
SNX27,SNX27,null,null,0.060366143
ANAPC13,ANAPC13,null,null,0.0603028
ZKSCAN5,ZKSCAN5,null,null,0.060291648
GMFG,GMFG,null,null,0.060129102
RRN3,RRN3,null,null,0.06008263
ZNF292,ZNF292,null,null,0.060012285
FAM210A,FAM210A,null,null,0.05999101
ZNF680,ZNF680,null,null,0.059919488
TMEM64,TMEM64,null,null,0.059894476
RPF2,RPF2,null,null,0.059892926
