NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
MOGS,MOGS,null,null,0.095737755
SH3BP5,SH3BP5,null,null,0.09552493
CERS5,CERS5,null,null,0.095461845
PCDHGC5,PCDHGC5,null,null,0.09539433
WAC,WAC,null,null,0.09532958
LIMK1,LIMK1,null,null,0.09531886
SERPINA9,SERPINA9,null,null,0.09526241
ARHGAP1,ARHGAP1,null,null,0.09519879
GPATCH11,GPATCH11,null,null,0.095130555
KLHL25,KLHL25,null,null,0.09483811
POLR2L,POLR2L,null,null,0.09482698
ACSL5,ACSL5,null,null,0.094804674
CBX6,CBX6,null,null,0.094796166
FJX1,FJX1,null,null,0.09470826
TRIM8,TRIM8,null,null,0.09466421
TBCEL,TBCEL,null,null,0.09464194
TCTN3,TCTN3,null,null,0.09459139
ZDHHC2,ZDHHC2,null,null,0.09456653
NOTCH2,NOTCH2,null,null,0.094564654
SIK3,SIK3,null,null,0.09438143
PDE8A,PDE8A,null,null,0.09434142
HECA,HECA,null,null,0.09429009
ARHGAP21,ARHGAP21,null,null,0.09413282
ZNF841,ZNF841,null,null,0.09412965
PARM1,PARM1,null,null,0.09407352
E2F5,E2F5,null,null,0.094064064
OTUD3,OTUD3,null,null,0.09393437
ATP5MPL,ATP5MPL,null,null,0.09392004
ZER1,ZER1,null,null,0.09386562
NEO1,NEO1,null,null,0.093832105
KIF1C,KIF1C,null,null,0.09366236
PKP4,PKP4,null,null,0.093606286
WDR44,WDR44,null,null,0.09354422
PLEKHM2,PLEKHM2,null,null,0.093540914
GDE1,GDE1,null,null,0.09344084
ST6GALNAC6,ST6GALNAC6,null,null,0.093363084
NOMO1,NOMO1,null,null,0.09334829
KAT6B,KAT6B,null,null,0.093197644
CCNG2,CCNG2,null,null,0.09318239
RNF103-CHMP3,RNF103-CHMP3,null,null,0.093137085
TFAP4,TFAP4,null,null,0.09300056
DYRK4,DYRK4,null,null,0.092976674
LEF1,LEF1,null,null,0.09288381
DST,DST,null,null,0.09287227
SPTBN2,SPTBN2,null,null,0.09274302
ANKRD13C,ANKRD13C,null,null,0.09270434
RPS24,RPS24,null,null,0.092672005
LYST,LYST,null,null,0.09262914
BLOC1S2,BLOC1S2,null,null,0.09261225
MTMR9,MTMR9,null,null,0.09252361
MANEAL,MANEAL,null,null,0.092499755
ZNF880,ZNF880,null,null,0.09234397
PACS1,PACS1,null,null,0.09225879
MAPK6,MAPK6,null,null,0.09213538
MAP3K8,MAP3K8,null,null,0.09213436
ATXN1L,ATXN1L,null,null,0.092094645
TMEM192,TMEM192,null,null,0.09207856
ZPR1,ZPR1,null,null,0.091887996
NT5DC2,NT5DC2,null,null,0.09188569
ENDOD1,ENDOD1,null,null,0.0918555
