Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,U2932_WT_centered,U2932_MUT_centered,U2932_WT_1,U2932_WT_2,U2932_WT_3,U2932_MUT_1,U2932_MUT_2,U2932_MUT_3
CANX,P27824,821,2.528867950836846e-4,2.94e-5,-0.649,TRUE,Down,-0.324,0.324,13.310712176515908,13.197616021049143,13.369283801382254,12.727856654727953,12.465260284277596,12.73828229767985
DDX3X,A0A0D9SF53,1654,2.548173365168348e-4,3.03e-5,0.499,TRUE,Up,0.25,-0.25,14.039261794341055,14.013235425078477,14.014116390998517,14.657854335815724,14.488850621213354,14.417522914226291
STT3B,Q8TCJ2,201595,2.703153923746124e-4,3.78e-5,-0.569,TRUE,Down,-0.285,0.285,10.404077136241234,10.250061502717214,10.289327293811976,9.859845343921446,9.604923816042515,9.77082904603249
SELENOS,E9PN30,55829,2.712444276904481e-4,3.82e-5,-0.362,TRUE,Down,-0.181,0.181,8.911391987843459,8.996332248825054,9.0394674382785265,8.634448062362308,8.60139939053183,8.626439136697316
TMPO.1,P42167,7112,2.767930038203207e-4,4.11e-5,-0.481,TRUE,Down,-0.241,0.241,13.130313145543456,13.09490241275141,13.030494719749468,12.718190355877468,12.501364500479466,12.592620545898534
ATP2A2,P16615,488,2.7842703681139766e-4,4.19e-5,-0.6,TRUE,Down,-0.3,0.3,13.537812928567426,13.326008077730995,13.340948860030487,12.920129510722184,12.692506532697143,12.790796469132749
LEMD2,Q8NC56,221496,2.834548632083056e-4,4.46e-5,-0.414,TRUE,Down,-0.207,0.207,9.182642644437047,9.332036548361652,9.248639193984642,8.879583249612784,8.777090896131869,8.865423978313133
Q9HC03,Q9HC03,NA,2.8621925116359144e-4,4.6e-5,-0.616,TRUE,Down,-0.308,0.308,10.607145340989451,10.441388029346687,10.571183794823945,10.074007625835959,9.780211658523335,9.91707366287822
IDH2,P48735,3418,3.0737052205853253e-4,6.13e-5,-0.504,TRUE,Down,-0.252,0.252,13.256311903000404,13.123183772582385,13.240508130754124,12.645703459641151,12.633176885329192,12.830218081027711
ATL3,Q6DD88,25923,3.0881186142670615e-4,6.24e-5,-0.967,TRUE,Down,-0.484,0.484,8.79376585730965,9.02486262686334,8.999154423122679,8.271463027904375,7.768184324776926,7.875902903124834
RPN2,P04844,6185,3.255711349167068e-4,7.66e-5,-0.334,TRUE,Down,-0.167,0.167,11.340573395395165,11.279610581052484,11.259449046285685,11.004992880999213,10.942001260331605,10.931032941506322
Q53HF9,Q53HF9,NA,3.339995048241445e-4,8.43e-5,-0.829,TRUE,Down,-0.414,0.414,7.631540867341486,7.733354340613827,7.5219929564016725,6.978424465440858,6.543805175964397,6.878970510151082
CKAP4,Q07065,10970,3.4168513466596544e-4,9.17e-5,-0.619,TRUE,Down,-0.31,0.31,12.279262342315414,12.307713119721189,12.55204462697889,11.677719641641009,11.73652877466121,11.86758763491283
A8K168,A8K168,NA,3.4882493671625645e-4,9.87e-5,-0.398,TRUE,Down,-0.199,0.199,11.051140951799038,11.086401645880029,11.182518504262218,10.728855861477568,10.7588061722944,10.637621113343291
SLC33A1,O00400,9197,3.560517510688183e-4,1.06e-4,-0.6,TRUE,Down,-0.3,0.3,8.3785116232537291,8.151777654732053,8.26725487215199,7.816983623255381,7.595443984589479,7.584210901308018
TMPO.2,P42167,7112,3.694606066307214e-4,1.22e-4,-0.476,TRUE,Down,-0.238,0.238,12.935017677925657,12.918322870642479,12.855082590432746,12.54662923421525,12.30586225097382,12.426762692122946
BRI3BP,Q8WY22,140707,3.921635111167648e-4,1.53e-4,-0.593,TRUE,Down,-0.296,0.296,9.481799431665753,9.592643902761624,9.54978466794786,9.114002556816232,8.783653086390073,8.948075158491081
A8K032,A8K032,NA,4.090917585335209e-4,1.77e-4,-0.668,TRUE,Down,-0.334,0.334,7.970393537914677,8.316055208890491,8.315602456637947,7.520422248526446,7.4990485977338786,7.578938713093386
GIT1,Q9Y2X7,28964,4.143501050790377e-4,1.86e-4,-0.451,TRUE,Down,-0.225,0.225,11.002744707117998,10.875902903124835,10.950993231979641,10.446359630358405,10.610102062999664,10.421012855779226
CLPTM1L,Q96KA5,81037,4.1975511140339655e-4,1.94e-4,-0.49,TRUE,Down,-0.245,0.245,7.706668682179746,7.524345816462544,7.501439145158873,7.124121311829188,7.141596278383818,6.997744026059632
CISD2,D6RCF4,493856,4.4476300261094036e-4,2.38e-4,-0.61,TRUE,Down,-0.305,0.305,7.2469780596147215,7.03121873061072,7.348728154231077,6.574404309022579,6.5219929564016725,6.699051844016849
E2F4,Q16254,1874,4.477341285573747e-4,2.43e-4,-0.381,TRUE,Down,-0.191,0.191,7.890568290306586,7.866042497096837,7.820817181864166,7.5668151540108965,7.470862199413702,7.3957483281790335
PTPMT1,Q8WUK0,114971,4.641173193469111e-4,2.75e-4,-0.374,TRUE,Down,-0.187,0.187,7.780047576061869,7.632268215499513,7.616181231331876,7.304693557471008,7.301953395126096,7.300123724569014
TCEB3,Q14241,6924,4.6811158332338575e-4,2.83e-4,-0.366,TRUE,Down,-0.183,0.183,10.556410255007835,10.510764167917891,10.452550135633986,10.169423978676072,10.061371192659811,10.19093579650336
A0A087WZ62,A0A087WZ62,NA,4.8414633612384606e-4,3.18e-4,-0.471,TRUE,Down,-0.236,0.236,7.971543553950772,8.162894799374783,8.196725060786028,7.653203362033977,7.575161033425394,7.688600010999123
SSR3,Q9UNL2,6747,5.186686586258828e-4,4.08e-4,-0.724,TRUE,Down,-0.362,0.362,10.179909090014934,10.144275852484398,10.24852060493843,9.689124404913258,9.231701199029002,9.479173962258928
ZZEF1,O43149,23140,5.583071287877221e-4,5.28e-4,-0.278,TRUE,Down,-0.139,0.139,9.73250664387348,9.803162444415893,9.74416109557041,9.489245875833959,9.474517164174488,9.482807956726667
B3KM97,B3KM97,NA,5.856955934618652e-4,6.2e-4,-0.55,TRUE,Down,-0.275,0.275,11.412411067520692,11.22526769863566,11.362491806046062,10.914684105328389,10.629902992000886,10.805582668169006
