"Name","ID","P_value","FDR","Significant","log2FC","U2932_WT_centered","U2932_MUT_centered"
"ACTR1A","P61163",0.635604882852415,0.922,FALSE,-0.0824,-0.0412,0.0412
"ACTR1B","P42025",0.559307715776004,0.915,FALSE,-0.115,-0.0575,0.0575
"ACTR2","P61160",0.0975488536421258,0.729,FALSE,-0.0917,-0.0458,0.0458
"ACTR3","P61158",0.0221340452896306,0.341,FALSE,-0.192,-0.096,0.096
"ACTR5","Q9H9F9",0.134731405969863,0.782,FALSE,0.0795,0.0397,-0.0397
"ACTR6","Q9GZN1",0.430329211019554,0.899,FALSE,0.0425,0.0213,-0.0213
"ACTR8","Q9H981",0.629997229357546,0.921,FALSE,-0.0378,-0.0189,0.0189
"ACY3","Q96HD9",0.954810820510387,0.941,FALSE,-0.00291,-0.00145,0.00145
"ACYP1","G3V2U7",0.0708743445030449,0.664,FALSE,-0.193,-0.0963,0.0963
"ADA","P00813",0.633622944066104,0.922,FALSE,0.0738,0.0369,-0.0369
"ADAM17","P78536",0.0059577904450297,0.0783,FALSE,-0.256,-0.128,0.128
"ADAM9","Q13443",0.0271421767606407,0.403,FALSE,-0.279,-0.139,0.139
"ADAR","P55265-4",0.806216701549088,0.933,FALSE,0.0175,0.00876,-0.00876
"ADAT2","Q7Z6V5",0.188856250430016,0.827,FALSE,0.127,0.0633,-0.0633
"ADAT3","D6W601",0.848348263817901,0.936,FALSE,0.0154,0.00769,-0.00769
"ADD1","P35611-3",0.886516182259099,0.937,FALSE,0.00968,0.00484,-0.00484
"ADD3","Q9UEY8",0.393984871142547,0.893,FALSE,0.103,0.0513,-0.0513
"ADH5","P11766",0.301110790711425,0.873,FALSE,0.0687,0.0344,-0.0344
"ADI1","Q9BV57",0.343000762436402,0.883,FALSE,0.0646,0.0323,-0.0323
"ADK","P55263",0.32631435385485,0.879,FALSE,0.0919,0.0459,-0.0459
"ADPGK","Q9BRR6",0.00408204697834147,0.0462,FALSE,-0.192,-0.0959,0.0959
"ADPRHL2","Q9NX46",0.0297533352417391,0.431,FALSE,0.155,0.0775,-0.0775
"ADRM1","Q16186",0.713400347244172,0.928,FALSE,-0.0304,-0.0152,0.0152
"ADSL","P30566",0.90575513827517,0.938,FALSE,0.00592,0.00296,-0.00296
"ADSS","P30520",0.0186217289388753,0.291,FALSE,0.166,0.0829,-0.0829
"AEBP2","Q6ZN18",0.170459684986276,0.814,FALSE,0.119,0.0594,-0.0594
"AES","Q08117",0.0371621877182108,0.497,FALSE,-0.129,-0.0643,0.0643
"AFDN","P55196-5",0.0366542781692877,0.493,FALSE,-0.125,-0.0624,0.0624
"AFF3","P51826-2",0.757107384799416,0.93,FALSE,0.0286,0.0143,-0.0143
"AFF4","Q9UHB7",0.93381070635468,0.94,FALSE,-0.0066,-0.0033,0.0033
"AFP","J3KMX3",0.484241915412755,0.907,FALSE,0.244,0.122,-0.122
"AFTPH","Q6ULP2",0.0238998052182525,0.364,FALSE,0.132,0.0659,-0.0659
"AGAP2","F8VVT9",0.0105900171429894,0.161,FALSE,-0.154,-0.077,0.077
"AGFG1","A0A0S2Z462",0.0464025205579019,0.559,FALSE,-0.2,-0.0999,0.0999
"AGFG2","O95081",0.825847420795613,0.934,FALSE,-0.0228,-0.0114,0.0114
"AGK","Q53H12",0.671344756205993,0.925,FALSE,-0.0197,-0.00987,0.00987
"AGL","A0A0M4G3H8",0.567279498168798,0.916,FALSE,-0.031,-0.0155,0.0155
"AGO2","Q9UKV8",0.0461794254114911,0.558,FALSE,-0.12,-0.0599,0.0599
"AGO3","Q9H9G7",0.883064898867097,0.937,FALSE,-0.0119,-0.00597,0.00597
"AGPAT1","Q99943",0.0946017886761284,0.723,FALSE,-0.223,-0.111,0.111
"AGPAT5","Q9NUQ2",0.651721249132887,0.923,FALSE,-0.0368,-0.0184,0.0184
"AGPS","O00116",0.515579934229388,0.91,FALSE,-0.0562,-0.0281,0.0281
"AGTPBP1","J3KNS1",0.120298876455241,0.765,FALSE,-0.127,-0.0634,0.0634
"AHCTF1","Q8WYP5-2",0.0165740831753517,0.258,FALSE,-0.215,-0.107,0.107
"AHCY","P23526",0.516895886016967,0.911,FALSE,0.0397,0.0198,-0.0198
"AHCYL1","O43865",0.355554104367713,0.886,FALSE,0.0449,0.0224,-0.0224
"AHCYL2","Q96HN2",0.408357290994802,0.896,FALSE,0.0401,0.0201,-0.0201
"AHR","P35869",0.00730706370475208,0.103,FALSE,-0.203,-0.101,0.101
