"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"ALDH2","P05091",0.00283022347560529,0.138,FALSE,0.603,-0.301,0.301
"ALDH3A2","P51648-2",0.465200057347899,0.918,FALSE,0.0492,-0.0246,0.0246
"ALDH5A1","P51649-2",0.299471594177201,0.903,FALSE,0.048,-0.024,0.024
"ALDH6A1","Q02252",0.0110322263142772,0.462,FALSE,0.196,-0.098,0.098
"ALDH7A1","P49419-2",0.00304567780334039,0.152,FALSE,0.265,-0.132,0.132
"ALDH9A1","P49189",0.146620822586496,0.87,FALSE,0.0754,-0.0377,0.0377
"ALDOA","P04075",0.0211030817022409,0.634,FALSE,0.152,-0.0759,0.0759
"ALG1","Q9BT22",0.81376355850475,0.934,FALSE,-0.0113,0.00565,-0.00565
"ALG13","Q9NP73",0.511105723737063,0.921,FALSE,0.0271,-0.0135,0.0135
"ALG2","Q9H553",0.90355468181239,0.937,FALSE,0.0248,-0.0124,0.0124
"ALKBH4","Q9NXW9",0.614608618584902,0.927,FALSE,0.0192,-0.00958,0.00958
"ALKBH5","Q6P6C2",0.0498412793461533,0.778,FALSE,0.0947,-0.0473,0.0473
"ALOX5","P09917",0.14093665366113,0.867,FALSE,0.0676,-0.0338,0.0338
"ALYREF","E9PB61",0.578861561666976,0.925,FALSE,-0.0226,0.0113,-0.0113
"AMBRA1","Q9C0C7-5",0.188877249392581,0.883,FALSE,-0.0556,0.0278,-0.0278
"AMDHD2","Q9Y303",0.00756323882071037,0.356,FALSE,-0.253,0.127,-0.127
"AMFR","Q9UKV5",0.166786791185964,0.877,FALSE,0.0682,-0.0341,0.0341
"AMOTL1","Q8IY63",0.0285208057780801,0.695,FALSE,0.174,-0.0871,0.0871
"AMPD3","Q01432-4",0.0234534698956591,0.657,FALSE,0.146,-0.0728,0.0728
"AMZ2","A0A024R8K0",0.416546600211306,0.915,FALSE,0.045,-0.0225,0.0225
"ANAPC1","Q9H1A4",0.065955616410514,0.809,FALSE,-0.206,0.103,-0.103
"ANAPC10","Q9UM13",0.245119048427993,0.895,FALSE,0.0604,-0.0302,0.0302
"ANAPC13","Q9BS18",0.47719529799269,0.919,FALSE,0.0301,-0.015,0.015
