Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,ctl_centered,ctl_1,ctl_2,sh_centered,sh_1,sh_2
EEF1D.1,P29692,1936,0.021340941851841207,0.637,-0.226,FALSE,Stable,0.113,14.17654412258313,14.024299182161887,-0.113,13.89617049442094,13.852160502272774
GLUD1,P00367,2746,0.02143957027241345,0.638,0.127,FALSE,Stable,-0.0633,14.143165289001255,14.137992813566894,0.0633,14.253921470991937,14.28061546194493
SEC24B,O95487,10427,0.021456869342220613,0.638,-0.173,FALSE,Stable,0.0866,11.286445185907919,11.188161651005222,-0.0866,11.078378710815032,11.049642751139695
SGTB,Q96EQ0,54557,0.02147412377333292,0.638,0.365,FALSE,Stable,-0.182,10.581483178450998,10.867014890201807,0.182,11.10182495839387,11.07578896642131
GALNT7,Q86SF2,51809,0.02164645316726008,0.64,-0.127,FALSE,Stable,0.0634,9.268497771362819,9.277100383115558,-0.0634,9.132275106077744,9.159691320813538
MAPK9,B5BUJ7,NA,0.02170820319143939,0.64,0.828,FALSE,Stable,-0.414,9.527839292307485,9.478073648035426,0.414,9.988868766199493,10.67302661039711
RPS27L,H0YMV8,51065,0.02170059596624551,0.64,-0.123,FALSE,Stable,0.0614,12.781337884058678,12.782302927746077,-0.0614,12.66510055356307,12.652785138590055
TMF1,P82094,7110,0.021667866718667637,0.64,-0.129,FALSE,Stable,0.0643,12.393463380814136,12.40799271564572,-0.0643,12.287480819974727,12.256694818788791
UBE4B,O95155,10277,0.021639497118499412,0.64,-0.238,FALSE,Stable,0.119,10.893225289681434,10.731421232063253,-0.119,10.546065815005937,10.60205469148533
IMMT,Q16891,10989,0.021747415652780388,0.641,0.14,FALSE,Stable,-0.0701,14.451876026136869,14.405983228592582,0.0701,14.551365608500971,14.586950516262535
CGGBP1,Q9UFW8,8545,0.02182970155460894,0.642,-0.13,FALSE,Stable,0.0648,13.39945997206666,13.362515393977707,-0.0648,13.253682496870725,13.249077790482778
B4E327,B4E327,NA,0.021958040105652277,0.643,-0.274,FALSE,Stable,0.137,12.136880479896046,11.935792008057762,-0.137,11.739969433479063,11.785252712956055
CACTIN,Q8WUQ7,58509,0.021954181884911488,0.643,-0.159,FALSE,Stable,0.0795,12.165438353681687,12.112038154954696,-0.0795,12.013513527866971,11.945833204467743
RPL10A,P62906,4736,0.021949413270179866,0.643,-0.124,FALSE,Stable,0.0618,14.159860644337263,14.166998392479218,-0.0618,14.048543429520908,14.03103323159603
TRIP10,Q15642,NA,0.021927524874886528,0.643,0.155,FALSE,Stable,-0.0773,10.71900787189455,10.767890882419527,0.0773,10.866256174173053,10.92973530904763
ZFP91,Q96JP5,80829,0.0220049530868305,0.643,-0.219,FALSE,Stable,0.11,10.104117302614995,9.953431597471933,-0.11,9.824210479325773,9.794752531350694
CAT,P04040,847,0.02212218760447792,0.644,0.146,FALSE,Stable,-0.0729,14.107336948990701,14.039567012373569,0.0729,14.222488066650351,14.215933971522247
KIF11,P52732,3832,0.02207443812268255,0.644,-0.229,FALSE,Stable,0.115,12.228764432501885,12.112857650828479,-0.115,11.999392394911299,11.883870523515846
