ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name,entrezgene_id,status
ENSG00000171222,1372.3767716790062,-0.4372713486265404,0.17617509284048932,-2.482027065099663,0.013063735246893082,0.09817873755651593,SCAND1,51282,stable
ENSG00000149646,115.80206838493653,-0.1400001873589553,0.22001690144119226,-0.6363156032191263,0.5245707369917423,0.790208815373737,CNBD2,140894,stable
ENSG00000260032,3375.7349632918954,-0.0883908845885218,0.11362392541090555,-0.7779249332292308,0.4366132684568766,0.7276349771650161,NORAD,647979,stable
ENSG00000131043,1131.5493436631145,0.0789222269247302,0.10131763549006617,0.7789584364359572,0.43600419895647025,0.7273833302790451,AAR2,25980,stable
ENSG00000080845,248.4373958690161,-0.07662303506304041,0.41114145306343836,-0.18636660081856943,0.8521572822464836,0.9510505119614678,DLGAP4,22839,stable
ENSG00000118707,1555.332352008916,0.28100762121676376,0.10344551425197884,2.7164795230489007,0.006598027657397025,0.06201300774234081,TGIF2,60436,stable
ENSG00000259399,2496.8332332740283,-0.24743200550184258,0.11761588991235054,-2.1037293998815407,0.035402058358434026,0.19356532979490315,TGIF2-RAB5IF,100527943,stable
ENSG00000101084,3126.8583261717345,-0.26456000853167655,0.12911159498249122,-2.0490801664060725,0.04045427655694575,0.2084849921612452,RAB5IF,55969,stable
ENSG00000101082,542.8069628356205,-0.09016998272281082,0.2209514704819352,-0.4080985862014575,0.6832012979547741,0.8785846682255183,SLA2,84174,stable
ENSG00000101079,678.2412636436624,0.35888965541994533,0.630302061647983,0.5693931168202039,0.5690893869527687,0.8181618929387916,NDRG3,57446,stable
ENSG00000149636,1300.910204264619,-0.18615886039001747,0.11654659551837954,-1.5972912770382899,0.11020079432257471,0.3705137923706312,DSN1,79980,stable
ENSG00000149639,808.4503649024848,0.07380090835341865,0.19157148348225583,0.38523953049752524,0.7000599580958639,0.8862137344922004,SOGA1,140710,stable
ENSG00000101342,152.4737615225506,-0.0020925749496225987,0.23742423820461442,-0.008813653422441217,0.9929678130540354,0.9983421217997154,TLDC2,140711,stable
ENSG00000101347,2617.953753240173,-0.12878271937511335,0.13765883818029342,-0.9355208940994045,0.3495199206437184,0.6616367688743052,SAMHD1,25939,stable
ENSG00000080839,1308.0551514329295,0.1553620200881175,0.09972765358446858,1.5578629848793848,0.11926573137610437,0.38726535258995626,RBL1,5933,stable
ENSG00000118705,7372.068714754569,-0.441214288664818,0.11442939858054602,-3.8557773975736707,1.1536242971412996e-4,0.0032711100541405113,RPN2,6185,mRNA_down
ENSG00000101363,474.6427632768251,-0.38861190075762536,0.11811744101100238,-3.2900467317220916,0.0010017074499119947,0.01726731828857108,MANBAL,63905,stable
ENSG00000197122,88.13496900199706,-1.3672866880534265,0.406448219816255,-3.3639873946834906,7.682505201601114e-4,0.01435517067353512,SRC,6714,mRNA_down
ENSG00000166619,1738.6132680063656,-0.07449788236293821,0.09807843938397492,-0.7595745082288743,0.4475089614932156,0.7354483688882624,BLCAP,10904,stable
ENSG00000053438,104.63678688303683,-0.9032919980791729,0.27671175979418366,-3.264378784447164,0.0010970439349766705,0.018503159127429794,NNAT,4826,mRNA_down
ENSG00000132792,1204.9303373227453,-0.1498699146857074,0.08920306854048769,-1.6800981977170897,0.09293821150982287,0.33662501231527636,CTNNBL1,56259,stable
ENSG00000101407,1749.348320340972,-0.2572591787320285,0.11401665037311631,-2.2563299122554032,0.024049977416280295,0.15041165950437632,TTI1,9675,stable
ENSG00000101413,1355.7512301248348,-0.04658130308314209,0.08438863699231547,-0.5519854893187082,0.5809582950462395,0.8238662225562684,RPRD1B,58490,stable
ENSG00000196756,1408.7371260295854,0.03997123943690704,0.09028153142659981,0.44273993590155514,0.6579538527904112,0.8673464657952428,SNHG17,388796,stable
ENSG00000174365,250.92242135658682,-0.23776624609245578,0.16116384849815998,-1.4753075724371918,0.14012987150829642,0.42153767497941275,SNHG11,128439,stable
ENSG00000170471,2260.616669517738,0.1798813373197722,0.10590462969839085,1.6985219421668531,0.0894092949495687,0.3305502429423054,RALGAPB,57148,stable
ENSG00000101442,489.93703761066683,0.0050789278356336166,0.13815424261848613,0.036762735181858366,0.9706741869672721,0.9922626702482373,ACTR5,79913,stable
ENSG00000101445,3519.982695230231,0.6338950268347123,0.14032993322544304,4.5171761452800405,6.266977152614554e-6,3.5194617697292607e-4,PPP1R16B,26051,mRNA_up
ENSG00000101447,778.9700902303232,0.10766476691758342,0.15957070327141148,0.6747151244577646,0.49985677356670405,0.7731761136122636,FAM83D,81610,stable
ENSG00000101452,409.22495313850726,-0.024604317834863425,0.1082610471971306,-0.22726842638111439,0.8202150228533457,0.9374572228676801,DHX35,60625,stable
ENSG00000198900,8773.852524903245,0.09370803782221587,0.22419387498233959,0.4179776893084056,0.6759634294911163,0.8749735030098373,TOP1,7150,stable
ENSG00000124181,2176.0275665242143,0.2366088162999611,0.11122977866893316,2.12720747205844,0.0334028485729011,0.18593730766052974,PLCG1,5335,stable
ENSG00000174306,834.5952860165797,0.3750371478011729,0.10550818052759683,3.5545788575424995,3.785849629504785e-4,0.00829143447775311,ZHX3,23051,stable
ENSG00000124177,1586.1766884731,0.05445961029526433,0.15927515079288318,0.3419215742327693,0.732409913216271,0.9018272497006151,CHD6,84181,stable
ENSG00000196090,117.34020039787457,2.300692904158928,1.7715621762293872,1.2986803031975702,0.1940536664197859,0.5015300210691969,PTPRT,11122,stable
ENSG00000124193,6434.685000894942,0.07031928190162241,0.08636680265236797,0.8141934139285221,0.41553415786211306,0.711207183230595,SRSF6,6431,stable
ENSG00000185513,314.7507210147603,0.055545509157534353,0.256565480162972,0.21649642470316546,0.8286008117564422,0.940435223827223,L3MBTL1,26013,stable
ENSG00000101052,650.5735065189488,-0.07910728333647506,0.14382497139535047,-0.5500246763061927,0.5823024485164012,0.8247543757416123,IFT52,51098,stable
ENSG00000101057,13514.372145463029,-0.094073972906744,0.10688746846038076,-0.8801216294276233,0.37879342301998853,0.6826129846771835,MYBL2,4605,stable
ENSG00000132823,806.0004508422087,-0.17138991486983682,0.11375979338753546,-1.506594814971032,0.13191454726688528,0.4081440328888665,OSER1,51526,stable
ENSG00000197296,128.21114190403122,0.20198724995972683,0.23903813043839245,0.8450001244123068,0.398110769580079,0.6973433546888883,FITM2,128486,stable
ENSG00000124120,751.4885757336626,0.5315632929819606,0.12583004795785452,4.224454346230578,2.3952039878728507e-5,9.988218410672777e-4,TTPAL,79183,mRNA_up
ENSG00000132824,2485.9715566836776,0.11355720496829753,0.11949848503388037,0.9502815448756663,0.3419692136979156,0.6559988001883928,SERINC3,10955,stable
ENSG00000168734,986.2856977272475,-0.46477267080130574,0.3341867351381584,-1.3907573878094261,0.16429900880311502,0.4594961923667187,PKIG,11142,stable
ENSG00000196839,745.014366422614,0.5505036733764452,0.5517394260910788,0.9977602602674444,0.3183956245837267,0.6347904614450353,ADA,100,stable
ENSG00000166913,10552.41180488764,0.039105582720438674,0.09795701410701538,0.39921166520772966,0.6897372486057245,0.8813171369636437,YWHAB,7529,stable
ENSG00000101104,965.5810330422083,0.2621023042195269,0.17823001006306757,1.4705845784712726,0.14140349703279054,0.4228340870548406,PABPC1L,80336,stable
ENSG00000025772,1439.7088156669681,0.1516036768592995,0.0800826156574462,1.8930909737986708,0.05834577232046773,0.25850337080546687,TOMM34,10953,stable
ENSG00000101109,6633.495409961314,0.025779922364067308,0.10005406024986788,0.2576599320376041,0.7966693717638109,0.92809552044189,STK4,6789,stable
ENSG00000204070,284.4487867844678,-0.23591300000073717,0.14883874994271257,-1.5850240618893878,0.11296086739803958,0.37565088452849477,SYS1,90196,stable
ENSG00000124155,1397.1597202792775,-0.28475351315266534,0.11109424074858343,-2.5631707929584664,0.010372101193959768,0.08350819960898022,PIGT,51604,stable
ENSG00000101457,672.9711427973832,-0.23604164676689468,0.10308339734820735,-2.2898124512676388,0.022032191056511035,0.14234226241738196,DNTTIP1,116092,stable
ENSG00000175063,1514.353143095091,0.10702167769871858,0.13030821136008583,0.8212964983686358,0.4114774017700837,0.7083638685113671,UBE2C,11065,stable
ENSG00000124104,160.98234128239795,-0.058744218015221186,0.17204235413700977,-0.3414520703921484,0.7327632812759868,0.9018272497006151,SNX21,90203,stable
