"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"A8K0B9","A8K0B9",0.605623114403194,0.923,FALSE,0.0202,-0.0101,0.0101
"A8K0D2","A8K0D2",0.0402602471583011,0.74,FALSE,0.129,-0.0646,0.0646
"A8K0M6","A8K0M6",0.918501836751102,0.935,FALSE,-0.00731,0.00366,-0.00366
"A8K0P8","A8K0P8",0.484450674821851,0.916,FALSE,0.03,-0.015,0.015
"A8K132","A8K132",0.117868628099597,0.85,FALSE,-0.243,0.122,-0.122
"A8K140","A8K140",0.0352284331318905,0.719,FALSE,0.116,-0.0579,0.0579
"A8K179","A8K179",0.800058872732169,0.931,FALSE,0.0164,-0.0082,0.0082
"A8K1C7","A8K1C7",0.107947766832506,0.844,FALSE,0.0745,-0.0373,0.0373
"A8K1D3","A8K1D3",0.518084912699645,0.918,FALSE,-0.0248,0.0124,-0.0124
"A8K1J3","A8K1J3",0.486035432614617,0.916,FALSE,-0.0628,0.0314,-0.0314
"A8K1M4","A8K1M4",0.0258096961488828,0.663,FALSE,-0.212,0.106,-0.106
"A8K1U0","A8K1U0",0.796285760921166,0.931,FALSE,0.0102,-0.00512,0.00512
"A8K214","A8K214",0.0162868285859844,0.557,FALSE,-0.149,0.0746,-0.0746
"A8K292","A8K292",0.577227827867303,0.922,FALSE,0.0261,-0.013,0.013
"A8K2A8","A8K2A8",0.708495501430736,0.928,FALSE,-0.0146,0.00729,-0.00729
"A8K2G0","A8K2G0",0.0327327526235416,0.707,FALSE,0.111,-0.0557,0.0557
"A8K2U2","A8K2U2",0.00146859944022487,0.0422,FALSE,0.313,-0.156,0.156
"A8K2V5","A8K2V5",0.352109932032888,0.905,FALSE,-0.039,0.0195,-0.0195
"A8K304","A8K304",0.24924480468323,0.891,FALSE,-0.067,0.0335,-0.0335
"A8K335","A8K335",0.737713662888367,0.929,FALSE,-0.0254,0.0127,-0.0127
"A8K337","A8K337",0.083850265308888,0.824,FALSE,-0.0851,0.0425,-0.0425
"A8K359","A8K359",0.205317379957753,0.882,FALSE,0.269,-0.134,0.134
"A8K394","A8K394",0.919960830265366,0.935,FALSE,-0.00415,0.00208,-0.00208
"A8K3A8","A8K3A8",0.0610586169698018,0.793,FALSE,-0.0999,0.0499,-0.0499
"A8K3B6","A8K3B6",0.0324569177198421,0.706,FALSE,0.14,-0.0699,0.0699
"A8K3S2","A8K3S2",0.536799839586232,0.92,FALSE,0.0543,-0.0271,0.0271
"A8K3S3","A8K3S3",0.0416304689835801,0.745,FALSE,-0.272,0.136,-0.136
"A8K3X3","A8K3X3",0.422795505559556,0.912,FALSE,0.0321,-0.0161,0.0161
"A8K3Z5","A8K3Z5",0.343614044529526,0.904,FALSE,0.0435,-0.0217,0.0217
"A8K454","A8K454",0.023203446532304,0.641,FALSE,-0.174,0.0872,-0.0872
"A8K486","A8K486",0.0631490397335579,0.796,FALSE,0.135,-0.0673,0.0673
"A8K489","A8K489",0.526267335520338,0.919,FALSE,0.039,-0.0195,0.0195
"A8K492","A8K492",0.259002873692966,0.893,FALSE,-0.0564,0.0282,-0.0282
"A8K4A2","A8K4A2",0.73611556505033,0.929,FALSE,-0.0175,0.00874,-0.00874
"A8K4A8","A8K4A8",0.220756136704979,0.886,FALSE,-0.0654,0.0327,-0.0327
"A8K4B4","A8K4B4",0.00752639968526807,0.345,FALSE,0.227,-0.113,0.113
"A8K4K4","A8K4K4",0.155959308923175,0.868,FALSE,-0.0778,0.0389,-0.0389
"A8K4M5","A8K4M5",0.59556395394845,0.923,FALSE,0.0217,-0.0109,0.0109
"A8K4N2","A8K4N2",0.702605972594116,0.928,FALSE,-0.0193,0.00966,-0.00966
"A8K4P6","A8K4P6",0.17881843688153,0.875,FALSE,0.6,-0.3,0.3
"A8K4P8","A8K4P8",0.409238409475429,0.911,FALSE,0.0532,-0.0266,0.0266
"A8K4S8","A8K4S8",0.664719072897765,0.926,FALSE,0.0223,-0.0112,0.0112
"A8K4S9","A8K4S9",0.0376273398658974,0.73,FALSE,0.121,-0.0603,0.0603
"A8K4T6","A8K4T6",0.930215035608074,0.936,FALSE,0.00329,-0.00165,0.00165
"A8K4T8","A8K4T8",0.368415460774455,0.907,FALSE,-0.075,0.0375,-0.0375
"A8K4U2","A8K4U2",0.446100877461007,0.914,FALSE,0.0338,-0.0169,0.0169
"A8K4U4","A8K4U4",0.134819425442338,0.859,FALSE,-0.0708,0.0354,-0.0354
"A8K4V6","A8K4V6",0.629651632332018,0.924,FALSE,0.0297,-0.0149,0.0149
"A8K4W2","A8K4W2",0.488935535895,0.917,FALSE,0.0318,-0.0159,0.0159
"A8K4W5","A8K4W5",0.493543227745956,0.917,FALSE,0.0299,-0.015,0.015
"A8K4Z4","A8K4Z4",0.0446775924020791,0.755,FALSE,-0.11,0.0552,-0.0552
"A8K4Z6","A8K4Z6",0.00095004235483406,0.0145,FALSE,0.293,-0.147,0.147
"A8K525","A8K525",0.126920417073309,0.855,FALSE,-0.083,0.0415,-0.0415
"A8K566","A8K566",0.442822129432786,0.913,FALSE,-0.031,0.0155,-0.0155
"A8K568","A8K568",0.611747358230805,0.924,FALSE,0.0268,-0.0134,0.0134
"A8K588","A8K588",0.232732839831715,0.888,FALSE,0.0916,-0.0458,0.0458
"A8K5A0","A8K5A0",0.640466761775784,0.925,FALSE,-0.0212,0.0106,-0.0106
"A8K5C2","A8K5C2",0.165814358673657,0.871,FALSE,0.0755,-0.0378,0.0378
"A8K5F3","A8K5F3",0.463991440055891,0.915,FALSE,-0.0378,0.0189,-0.0189
"A8K5G2","A8K5G2",0.297884146350177,0.899,FALSE,0.0477,-0.0239,0.0239
"A8K5H3","A8K5H3",0.346113753164543,0.905,FALSE,0.0385,-0.0193,0.0193
"A8K5Q1","A8K5Q1",0.961010134297363,0.936,FALSE,0.00219,-0.0011,0.0011
"A8K5U9","A8K5U9",0.260207054441627,0.893,FALSE,0.0735,-0.0368,0.0368
"A8K5Y7","A8K5Y7",0.0355850630724991,0.721,FALSE,-0.236,0.118,-0.118
"A8K632","A8K632",0.485165852841531,0.916,FALSE,0.0448,-0.0224,0.0224
"A8K646","A8K646",0.188453535956667,0.878,FALSE,0.0582,-0.0291,0.0291
"A8K647","A8K647",0.668542093083248,0.926,FALSE,0.0174,-0.00868,0.00868
"A8K683","A8K683",0.40366548420173,0.91,FALSE,-0.0341,0.017,-0.017
"A8K686","A8K686",0.389659457589771,0.909,FALSE,-0.0447,0.0223,-0.0223
"A8K6A0","A8K6A0",0.226577176768539,0.887,FALSE,0.204,-0.102,0.102
"A8K6A7","A8K6A7",0.00263087233297745,0.118,FALSE,-0.264,0.132,-0.132
"A8K6D4","A8K6D4",0.169059141138222,0.872,FALSE,0.354,-0.177,0.177
"A8K6F0","A8K6F0",0.734493289154313,0.929,FALSE,0.0139,-0.00697,0.00697
"A8K6G9","A8K6G9",0.356097345479401,0.906,FALSE,0.0475,-0.0237,0.0237
"A8K6H9","A8K6H9",0.523112793976281,0.919,FALSE,-0.0764,0.0382,-0.0382
"A8K6I6","A8K6I6",0.407638260761267,0.911,FALSE,-0.0442,0.0221,-0.0221
"A8K6J9","A8K6J9",0.657250026821258,0.926,FALSE,0.0172,-0.0086,0.0086
"A8K6M4","A8K6M4",0.0941962864986187,0.833,FALSE,0.228,-0.114,0.114
"A8K6P5","A8K6P5",0.437064292992722,0.913,FALSE,-0.0327,0.0164,-0.0164
"A8K6Q4","A8K6Q4",0.420226147846423,0.912,FALSE,-0.0328,0.0164,-0.0164
"A8K6Q5","A8K6Q5",0.290263280166179,0.898,FALSE,0.0475,-0.0238,0.0238
"A8K6R4","A8K6R4",0.930133603275694,0.936,FALSE,-0.0045,0.00225,-0.00225
"A8K6T5","A8K6T5",0.0799658463273588,0.819,FALSE,0.1,-0.0501,0.0501
"A8K6U0","A8K6U0",0.52680538051441,0.919,FALSE,0.0353,-0.0176,0.0176
"A8K6U2","A8K6U2",0.191266538229388,0.879,FALSE,0.0684,-0.0342,0.0342
"A8K6U7","A8K6U7",0.647728602664264,0.925,FALSE,-0.0234,0.0117,-0.0117
"A8K6V7","A8K6V7",0.129629553843541,0.856,FALSE,-0.123,0.0614,-0.0614
