ensembl_gene_id,external_gene_name,entrezgene_id,SLX.13199.A005,SLX.14296.A001,SLX.12465.A010,SLX.13199.A008,SLX.13199.A006,SLX.14296.A002,SLX.12465.A011,SLX.13199.A009,SLX.13199.A007,SLX.14296.A003,SLX.12465.A012,SLX.13199.A010
ENSG00000175768,TOMM5,401505,8.538876603759366,8.82277561614438,8.971475950209621,8.308033085203691,8.510090139097152,9.175590103308956,9.046827128251635,7.664849796470299,8.189886558516143,9.250247192431702,9.353252643990631,8.902198099675413
ENSG00000175792,RUVBL1,8607,12.24168165179308,12.360315053353274,12.151580225667741,12.207222767029682,12.295592088279811,12.310037711797678,12.089507383675524,12.130727799819372,12.148900250274023,12.24367287008538,11.797775644477353,12.149801790482774
ENSG00000175826,CTDNEP1,23399,9.80202157592781,10.208895052561159,10.218302099418098,10.15303545371661,9.974309365446473,10.1194711809287,9.940011247595148,10.059102975542977,10.227673861175926,10.193389522375963,10.245134143807089,10.135148746986127
ENSG00000175854,SWI5,375757,8.43730623059696,8.17821886800942,8.187362149855124,8.019617865381555,8.078878345809706,8.32876673882463,8.551550329674578,7.771825887102267,7.988245963788088,8.379604155265648,8.230545705556747,8.330525846947163
ENSG00000175895,PLEKHF2,79666,9.25307852500467,9.044044277342078,9.135754762628398,9.246847745817831,9.17181071767837,8.844430959750262,8.886965494815422,8.890646224136095,8.987181762408309,8.856673418468814,9.090846170350863,8.932579844988576
ENSG00000175931,UBE2O,63893,9.786320955136166,9.690720268404515,9.810723283408922,9.602400684115114,9.71535261945345,9.638660182692611,9.870141803780381,9.661227395585378,9.579260826183788,9.58934154052435,9.776753347347816,9.561952748405236
ENSG00000175970,UNC119B,84747,8.280083987891185,8.324905780933847,8.365773898242283,8.231044276922736,8.442971569597365,8.457446443170328,8.381944235313238,8.49330843905051,8.33022956662326,8.267526293718971,8.409357757358656,8.398241594132191
ENSG00000176018,LYSMD3,116068,8.41599838287929,8.700902250467562,8.798441426208361,8.89271032906495,8.802254948692697,8.663697109391922,8.422722926554304,8.66573897941442,8.46935004461466,8.644170534847845,8.566224944188642,8.889852763714858
ENSG00000176022,B3GALT6,126792,9.11045191706964,8.597282524532016,8.336932857634832,8.676950120247739,8.741260953326746,8.621179630398972,8.9725555576822,8.63100189276155,8.21613755703054,8.783989125945688,8.746601302582048,8.748349839622849
ENSG00000176058,TPRN,286262,8.791560150454723,8.872812592565158,8.805260401311251,8.707803350112876,8.664197903286189,9.061541627753293,9.175764866869436,8.579738320157254,8.46081533654953,9.043709342388427,8.883300023859878,8.873215728059403
ENSG00000176087,SLC35A4,113829,9.796154196927603,9.86120955088822,9.886239328320487,9.812418385222564,9.569755852232953,9.688062923312211,9.85609884405944,9.792933498783526,9.832366204903169,9.835433682127501,10.03896995870342,9.654339663239124
ENSG00000176095,IP6K1,9807,8.951355229845374,8.774590981541266,9.100601453591688,8.7047499714356409,8.85832010288914,9.015963441782711,9.25639864076473,8.982750796589173,8.841111935703037,9.077565458611078,9.205379359847528,8.655684562471682
ENSG00000176101,SSNA1,8636,10.037128367331809,9.85601811658198,9.591635750922212,9.696462898490099,9.725200256505117,9.949880193627338,9.766914222984532,9.562671378401744,9.695058433093823,9.91495668741773,9.714010242948648,9.823820321005655
ENSG00000176102,CSTF3,1479,9.827170107443003,9.688770804170803,9.772250656420471,9.90937306271325,9.75072903563492,9.665476070552407,9.275180508007201,9.552426041643029,9.841795148129538,9.687791399267395,9.624898922437005,9.95315531319694
ENSG00000176105,YES1,7525,7.515443976181205,7.559767203790442,7.763575710900386,7.850161630717456,7.670115966254075,7.923425529159233,8.560604663782573,7.676050656078841,8.067158937253812,7.860800515101468,8.295353862362457,7.99892002399273
ENSG00000176108,CHMP6,79643,7.9839643618399,8.397330330031926,7.9520530779432494,7.9492319197610595,8.124155491181254,8.355562024622326,8.136806059907425,8.089016677709562,8.025324238781877,8.434849087539583,7.976659994856408,8.157902592395178
ENSG00000176142,TMEM39A,55254,8.533982128879687,8.672695048498682,8.650415651209876,8.781956995899987,8.452331702744114,8.543308173497868,9.005343276803776,8.531826920083125,8.931222095095883,8.746120486721713,8.80959884063217,8.734505609274844
ENSG00000176148,TCP11L1,55346,8.888926051757746,8.751755887515532,8.84546588882683,8.804846352419606,8.99533787624304,8.788437597265514,9.074829983203777,9.058089162910182,8.798685385598127,8.820820553608405,8.978519873351296,8.68006615380889
ENSG00000176165,FOXG1,2290,9.69671238387813,10.125298032192587,9.90797872733603,9.501614005435746,9.689171672030897,10.013639592474638,9.911456548305058,9.592967847070062,9.564094334299234,10.117174259163647,10.357799949447426,9.6732900142813385
ENSG00000176171,BNIP3,664,8.107107416161352,8.17821886800942,8.04196729168186,8.274399707717324,8.335230406782088,8.463553835268957,8.591811721613787,8.213511060518211,8.31111856099428,8.715909011975258,8.37027834114514,8.52381462228836
ENSG00000176182,MYPOP,339344,8.399782131946363,8.058730058453191,8.137009877344337,8.299708805856675,8.424044770341874,8.273406328447033,8.609317482328416,8.574500469401832,8.349056019993457,8.273680605960577,8.61092962157365,8.504633605738896
ENSG00000176208,ATAD5,79915,9.566883439360236,9.455992364501144,9.708080562144758,9.48438038072171,9.488002018843707,9.468992356109434,9.703524385187308,9.431709537254454,9.61464049442038,9.500877653145501,9.538189267899288,9.657912267150333
ENSG00000176209,SMIM19,114926,8.39433076223231,8.417289613516601,8.327171471585153,8.566329393840844,8.510090139097152,8.308290980196036,8.3017745444944,8.66573897941442,8.276959825171753,8.445618497114376,8.363647129161158,8.496325840210243
ENSG00000176225,RTTN,25914,8.458267225446226,8.38215388930904,8.571751170290513,8.396158620664611,8.355508990651778,8.04896341442339,8.239559313729108,8.400711523820023,8.403918451815882,8.24887918806276,8.428459142054102,8.367907660995042
ENSG00000176248,ANAPC2,29882,10.087510085440552,9.866382076406678,9.732704382311333,9.6166789568549,9.839455341278109,9.915306247527925,9.73461341502015,9.689500967550876,9.74120144109354,9.902008111293599,9.764901250626972,9.783040873632105
ENSG00000176261,ZBTB8OS,339487,10.100227914401032,9.980433317026796,9.700965759873691,9.920880901822263,9.967086239626315,9.97552434289745,9.54132141124033,9.684827799896832,9.886505992142816,9.9314334321403,9.560371966542629,10.08321263569189
ENSG00000176302,FOXR1,283150,10.12221488330068,10.196663226364228,10.00765068368052,10.132327531749484,9.97224935299151,10.123142130949127,10.02081992639557,10.196161818193218,9.7988625718682,10.04508443692375,9.881382629715208,10.19181178183505
ENSG00000176340,COX8A,1351,9.548322342657027,10.404626078223904,10.246530643450418,9.749173790322544,9.714116832769607,10.381520379882074,10.190940269813412,9.510682347725432,9.361465564551628,10.439104623204926,10.368749369132749,9.970434879010387
ENSG00000176390,CRLF3,51379,9.087892662564975,9.338434593632211,9.211095312468625,9.252999441481261,9.259967567314487,9.240448766238694,9.114298889361201,9.217164929897221,9.251549023019809,9.253196061477599,9.173093143099766,9.123008021245106
ENSG00000176393,RNPEP,6051,9.700910949083543,9.54946541594376,9.532615805470803,9.570143902731305,9.803932058269144,9.470445817875724,9.643323776546344,9.82932560524943,9.742881888999444,9.612327028928581,9.64576833128803,9.603350243733232
ENSG00000176396,EID2,163126,9.223936919140325,8.890244262360131,8.795018948674501,8.8217617339402,8.963941707358288,8.81205127943619,8.780404478863982,8.579738320157254,8.771896808223806,8.728940431551255,8.91432549126406,8.887784254007851
ENSG00000176407,KCMF1,56888,10.02883286371003,10.019599433455644,9.926351489233339,9.910656321143417,10.144835285011096,10.421501836374091,10.484876659886098,10.091109294156235,9.94449866242159,10.35909960827086,10.146681340569158,9.974246456297813
ENSG00000176410,DNAJC30,84277,8.309628336435376,8.225224319303033,8.379952737217328,8.282892963393502,8.136214614984228,8.352243417297213,8.462246888847597,8.241054644887353,8.31111856099428,8.304006712188837,8.363647129161158,8.439536821418805
ENSG00000176422,SPRYD4,283377,7.99913632027065,8.10413986974632,7.883259069260859,7.9492319197610595,7.847766935478869,8.146893055241273,7.845117482884595,8.15650592347342,7.917036785550886,8.044952004467088,8.038876664244459,8.124762138524082
ENSG00000176438,SYNE3,161176,8.494150627907603,8.248073435083445,8.131284529724931,8.328606354337579,8.190963633407394,8.023173088184818,8.143095074573898,8.234225909343051,8.226483649168284,7.928246413282851,8.428459142054102,8.135909714478196
ENSG00000176444,CLK2,1196,9.160672227435228,9.092696520724758,8.89091019245523,9.09496764949303,9.318512073672384,9.084734897342532,9.114298889361201,9.157078599257433,9.155368469142575,9.00194865186318,8.931741657717506,9.23354064831264
ENSG00000176454,LPCAT4,254531,8.504223322936852,8.292552056895223,8.078497059556652,8.467663602475461,8.548181172084918,8.613053209070689,8.55608531826269,8.66573897941442,8.33022956662326,8.54865747996349,8.47805313324513,8.663046149240778
ENSG00000176463,SLCO3A1,28232,9.097606149569888,9.29522438318572,9.075728783770357,9.299280240028098,9.249679471030808,9.07511848282825,9.482821786499482,9.330062765985009,9.305299441236127,9.189915887300469,9.436801771483292,9.01043777777255
ENSG00000176476,SGF29,112869,8.873810618961166,8.672695048498682,8.832196618970832,8.76453063273099,8.513060036708524,8.563213077387903,8.524005167237014,8.558660344940877,8.655354033892193,8.592497560992138,8.560528397660866,8.650754046376523
ENSG00000176485,PLAAT3,11145,8.637657224020833,7.7583934899654,8.181868728074999,8.38839475495191,8.452331702744114,7.965272735139484,7.930845968312423,8.300886829594582,8.21613755703054,7.9117570441779375,7.733172525068116,8.333683448984106
ENSG00000176531,PHLDB3,653583,7.9839643618399,8.07188112574989,7.911276575550922,7.9492319197610595,8.0448399990218,8.036138541985599,8.198283824458347,8.126974313849015,8.000736140449666,8.022523517109152,7.939557256433946,8.197222528508307
ENSG00000176542,USF3,205717,8.483999209425026,8.811808052457687,9.007114841461913,8.818957193668613,8.775758116404376,8.774067921227614,8.82921519460224,9.26847520260715,8.765115403966362,8.684998245351837,9.079241061680111,9.071498263151856
ENSG00000176619,LMNB2,84823,11.497033486469794,11.400108330320114,11.250836630651785,11.13957823337233,11.400416963962286,11.367913149731066,11.586253419935876,11.217679418114283,11.300496248334657,11.186669215929449,11.45786155237271,11.30285020194176
ENSG00000176623,RMDN1,51115,9.666968106133757,9.48333927730644,9.572235869435156,9.558677318666737,9.604918017414521,9.415638975728058,9.215276628850187,9.691831772795412,9.634725115666496,9.54699886254165,9.478238883651768,9.642365302195879
ENSG00000176624,MEX3C,51320,9.627781790543583,9.941792096700798,10.167840057385604,9.774811244727433,9.848480100577243,9.964297807564021,10.32400341356306,9.923362736094019,9.665213737340467,9.903865144962436,10.222876273434753,9.582176132629044
ENSG00000176658,MYO1D,4642,8.944157409024173,9.080693737083427,9.223681049335218,8.830140563748126,9.063946819956866,9.191647886667809,8.992322300247228,9.239846579787532,9.057490840989242,9.10406333203225,9.007475287346795,8.916460695485418
ENSG00000176715,ACSF3,197322,10.785080762790036,10.352955074482418,10.282532131098963,10.636041076389654,10.552814312050156,10.202470240769669,10.161350462317738,10.59922636766751,10.413389230322199,10.142511011428596,10.168357175955409,10.361836070294236
