ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name,entrezgene_id
ENSG00000116273,845.6667771,-0.355632293,0.089577413,-3.970111236,7.18E-05,3.46E-04,PHF13,148479
ENSG00000041988,1054.884215,0.10986043,0.095967547,1.144766467,0.25230591,0.41737983,THAP3,90326
ENSG00000007923,1688.891587,0.119471985,0.072651515,1.644452777,0.100082711,0.206041782,DNAJC11,55735
ENSG00000171735,959.1275454,-0.064788679,0.092920452,-0.697248854,0.48564707,0.656780781,CAMTA1,23261
ENSG00000049245,779.8483497,0.21833085,0.091469915,2.386914313,0.016990451,0.047155014,VAMP3,9341
ENSG00000049246,294.8938819,0.435065617,0.136369532,3.190343246,0.001421039,0.005260751,PER3,8863
ENSG00000049247,66.38617935,0.450796648,0.287326335,1.568936059,0.116662839,0.232020698,UTS2,10911
ENSG00000049249,505.241603,-1.198148169,0.108331794,-11.05998646,1.96E-28,9.71E-27,TNFRSF9,3604
ENSG00000116288,10124.54038,-0.202218128,0.04572901,-4.422097261,9.77E-06,5.48E-05,PARK7,11315
ENSG00000116285,61.9350981,0.779446591,0.309189622,2.52093387,0.011704385,0.034020948,ERRFI1,54206
ENSG00000162426,6.354895237,-0.42405514,0.89305609,-0.474835953,0.634903905,0.775903549,SLC45A1,50651
ENSG00000142599,5066.012319,-0.376988096,0.058795645,-6.41183709,1.44E-10,1.54E-09,RERE,473
ENSG00000074800,83438.22349,0.215036747,0.040203883,5.348656139,8.86E-08,6.74E-07,ENO1,2023
ENSG00000142583,9440.063119,0.609069856,0.046446113,13.11347325,2.76E-39,2.70E-37,SLC2A5,6518
ENSG00000180758,829.1866731,-0.927689348,0.092258036,-10.05537714,8.70E-24,3.17E-22,GPR157,80045
ENSG00000049239,1517.213302,-0.327219899,0.072139622,-4.535924777,5.74E-06,3.35E-05,H6PD,9563
ENSG00000171621,938.0675215,-0.824060874,0.092165485,-8.94110057,3.85E-19,9.25E-18,SPSB1,80176
ENSG00000171612,455.485155,0.339881033,0.109638457,3.100016583,0.001935098,0.006953685,SLC25A33,84275
ENSG00000188807,852.8471754,0.367691268,0.094598516,3.886860859,1.02E-04,4.77E-04,TMEM201,199953
ENSG00000171608,6192.442384,-0.783238813,0.050481543,-15.51535014,2.73E-54,5.78E-52,PIK3CD,5293
ENSG00000171603,4190.146202,-0.116848265,0.052371257,-2.231152572,0.025671024,0.066937904,CLSTN1,22883
ENSG00000178585,398.2623282,-0.134826272,0.11814932,-1.141151488,0.253806888,0.419344917,CTNNBIP1,56998
ENSG00000162441,137.219903,0.336076109,0.193785698,1.734266834,0.082870749,0.177236132,LZIC,84328
ENSG00000173614,153.8940535,-0.356067961,0.206904113,-1.720932254,0.085263118,0.181252915,NMNAT1,64802
ENSG00000130939,2097.478495,0.009364492,0.068654597,0.136400076,0.891505013,0.940715715,UBE4B,10277
ENSG00000054523,669.0859397,-0.180683182,0.100113111,-1.804790403,0.071107487,0.15695677,KIF1B,23095
ENSG00000142657,5120.741683,0.197659623,0.049766839,3.97171346,7.14E-05,3.44E-04,PGD,5226
ENSG00000251503,345.7500791,0.249443492,0.125736881,1.983853037,0.047272226,0.112104141,CENPS-CORT,100526739
ENSG00000175279,495.7006567,0.19079143,0.111671436,1.708506997,0.087542309,0.185060241,CENPS,378708
ENSG00000241563,22.91048868,-0.079152659,0.496598133,-0.159389764,0.873361803,0.930514503,CORT,1325
ENSG00000160049,3101.642938,0.423270809,0.057479786,7.363820148,1.79E-13,2.62E-12,DFFA,1676
ENSG00000142655,686.2173021,-0.02658897,0.114886661,-0.231436529,0.81697569,0.897226335,PEX14,5195
ENSG00000130940,94.12663977,-1.019989846,0.238585373,-4.275156651,1.91E-05,1.02E-04,CASZ1,54897
ENSG00000120948,4215.705117,-0.132254674,0.054710654,-2.417347693,0.015634075,0.043850929,TARDBP,23435
ENSG00000009724,12.33806785,0.276121476,0.671572817,0.411156422,0.68095784,0.808852337,MASP2,10747
ENSG00000116649,10433.04054,0.579168199,0.059860847,9.675242273,3.84E-22,1.20E-20,SRM,6723
ENSG00000171824,1949.819549,-0.04831061,0.064199786,-0.752504218,0.451747894,0.626021999,EXOSC10,5394
ENSG00000198793,3472.7011,-0.168986756,0.066233626,-2.55137407,0.010729909,0.031512148,MTOR,2475
ENSG00000120942,1406.9239,0.502503542,0.076657031,6.555217865,5.56E-11,6.27E-10,UBIAD1,29914
ENSG00000116661,97.22921511,-0.396729834,0.236885421,-1.674775227,0.093978341,0.195835892,FBXO2,26232
ENSG00000132879,261.0489801,0.313894232,0.146077391,2.148821454,0.031648556,0.079720554,FBXO44,93611
ENSG00000116663,206.9968032,-0.161396313,0.175270137,-0.920843196,0.357132299,0.534182923,FBXO6,26270
ENSG00000116670,2500.70057,-0.19565758,0.067401613,-2.902861973,0.003697696,0.012392061,MAD2L2,10459
ENSG00000177674,600.6615954,0.598932846,0.100698708,5.947770922,2.72E-09,2.49E-08,AGTRAP,57085
ENSG00000215910,152.0405282,-0.217572887,0.178327894,-1.220072094,0.222437546,0.379049427,C1orf167,284498
ENSG00000177000,843.6828555,-0.427488769,0.088920438,-4.807542313,1.53E-06,9.78E-06,MTHFR,4524
ENSG00000011021,534.7969719,-0.318981091,0.107316427,-2.972341703,0.002955376,0.010175913,CLCN6,1185
ENSG00000116685,1671.226439,0.329230414,0.065204269,5.049215609,4.44E-07,3.08E-06,KIAA2013,90231
ENSG00000083444,1802.533428,0.286993937,0.065056664,4.411445652,1.03E-05,5.74E-05,PLOD1,5351
ENSG00000116688,2503.809512,-0.040623142,0.068596154,-0.592207292,0.553711787,0.713468825,MFN2,9927
ENSG00000116691,1092.111188,-0.1637572,0.077210342,-2.120923124,0.033928272,0.08483546,MIIP,60672
ENSG00000120949,2906.414915,-0.895922512,0.075391295,-11.88363338,1.44E-32,9.51E-31,TNFRSF8,943
ENSG00000028137,1368.599431,0.310317065,0.083169681,3.731132074,1.91E-04,8.50E-04,TNFRSF1B,7133
ENSG00000048707,896.9662337,-0.30074718,0.110152414,-2.730282241,0.006328012,0.019849508,VPS13D,55187
ENSG00000162496,8.800235089,2.078175483,0.840497963,2.47255267,0.013415194,0.038355581,DHRS3,9249
ENSG00000116726,6.027876096,0.95646514,0.934080001,1.023964906,0.305851851,0.479393785,PRAMEF12,390999
ENSG00000116731,10643.20992,-0.826306289,0.051866842,-15.93130133,3.84E-57,9.19E-55,PRDM2,7799
ENSG00000189337,66.27357493,1.769099795,0.292444076,6.049361033,1.45E-09,1.38E-08,KAZN,23254
ENSG00000142634,2846.334828,-7.88E-04,0.070699021,-0.011140778,0.991111129,0.995023671,EFHD2,79180
ENSG00000132906,475.701157,0.07167685,0.109040569,0.657341125,0.510961599,0.679174958,CASP9,842
ENSG00000116138,851.8908789,-0.042820708,0.093312676,-0.458894868,0.646309665,0.784166162,DNAJC16,23341
ENSG00000116771,597.6009162,0.243046805,0.097839907,2.484127502,0.01298693,0.037293181,AGMAT,79814
ENSG00000197312,3816.191283,-0.055398693,0.080586611,-0.687442894,0.491803675,0.662387051,DDI2,84301
ENSG00000215695,831.1066866,-0.208805548,0.102723782,-2.032689451,0.042083908,0.10159911,RSC1A1,6248
ENSG00000116786,3356.183665,-0.519092301,0.057742439,-8.989788199,2.48E-19,6.03E-18,PLEKHM2,23207
ENSG00000162461,11.02204765,-1.575482199,0.701334336,-2.246406767,0.024677965,0.064760319,SLC25A34,284723
ENSG00000233954,222.0385144,0.113101303,0.188169825,0.601059723,0.547800209,0.709140077,UQCRHL,440567
ENSG00000065526,3303.837281,-0.215966238,0.066747599,-3.235565625,0.00121402,0.004565014,SPEN,23013
ENSG00000116809,604.3727601,-0.370708929,0.107441786,-3.450323599,5.60E-04,0.002264342,ZBTB17,7709
ENSG00000173641,16.12462491,0.529576929,0.644730406,0.821392825,0.411422549,0.588697361,HSPB7,27129
ENSG00000186510,6.638380643,-1.215523817,0.88761496,-1.369426915,0.170865866,0.311196006,CLCNKA,1187
ENSG00000142627,9.31666768,1.058316846,0.756224031,1.399475291,0.161670503,0.29834868,EPHA2,1969
ENSG00000142632,139.422222,-0.239285435,0.189325552,-1.263883467,0.206271857,0.359023466,ARHGEF19,128272
ENSG00000132881,179.7724577,0.358307989,0.184618141,1.940805967,0.052281817,0.122064023,CPLANE2,79363
ENSG00000037637,858.858427,-0.190191171,0.087203591,-2.181001584,0.029183299,0.074435374,FBXO42,54455
ENSG00000055070,4930.184956,-0.361811126,0.050859409,-7.113946708,1.13E-12,1.52E-11,SZRD1,26099
ENSG00000187144,1232.700868,-0.353252417,0.075999497,-4.648088861,3.35E-06,2.04E-05,SPATA21,374955
ENSG00000157191,2645.479064,-0.863671913,0.06698131,-12.89422244,4.85E-38,4.43E-36,NECAP2,55707
ENSG00000219481,42.96460284,0.473207711,0.374352217,1.264070814,0.206204611,0.358937519,NBPF1,55672
ENSG00000058453,181.8477252,0.627124202,0.202250211,3.10073447,0.001930413,0.006940574,CROCC,9696
ENSG00000159363,976.7537578,0.409665397,0.082033677,4.993868511,5.92E-07,4.05E-06,ATP13A2,23400
ENSG00000117118,3483.78304,0.316633345,0.065438136,4.838666915,1.31E-06,8.47E-06,SDHB,6390
ENSG00000117115,159.8952379,-0.177073962,0.178451819,-0.992278826,0.321061529,0.496188245,PADI2,11240
ENSG00000159339,163.7893303,0.1003408,0.17787404,0.564111549,0.572678219,0.728576374,PADI4,23569
ENSG00000179051,8113.861152,-0.046240252,0.051477917,-0.898254138,0.369050077,0.546174273,RCC2,55920
ENSG00000074964,10.97453698,0.233216036,0.740280188,0.315037522,0.752733165,0.857808396,ARHGEF10L,55160
ENSG00000159423,408.4068269,-0.27856924,0.143835504,-1.936720994,0.052779458,0.122986789,ALDH4A1,8659
ENSG00000169991,2028.455471,-0.532588688,0.0651792,-8.171144952,3.05E-16,5.74E-15,IFFO2,126917
ENSG00000127481,3121.262723,-0.426602054,0.063268865,-6.742685385,1.55E-11,1.86E-10,UBR4,23352
ENSG00000127463,1570.772471,0.568399017,0.068844647,8.256255798,1.50E-16,2.92E-15,EMC1,23065
ENSG00000053372,2495.475542,0.38424572,0.060730259,6.327088489,2.50E-10,2.60E-09,MRTO4,51154
ENSG00000211454,4.860362142,0.162196139,0.970982098,0.167043388,0.86733591,0.926994668,AKR7L,246181
ENSG00000162482,9.895067556,0.246112457,0.690498453,0.356427238,0.721520634,0.836424387,AKR7A3,22977
ENSG00000053371,1410.242521,-0.206566694,0.073378143,-2.815098404,0.00487623,0.015798796,AKR7A2,8574
ENSG00000040487,145.4586017,-0.312462269,0.208464383,-1.49887604,0.133905793,0.258140525,SLC66A1,54896
ENSG00000077549,8735.558046,-0.51294468,0.048500569,-10.57605494,3.85E-26,1.60E-24,CAPZB,832
ENSG00000173436,1656.38299,0.41039281,0.074856189,5.482416543,4.20E-08,3.33E-07,MICOS10,440574
ENSG00000158747,119.9714696,-0.43917952,0.247482037,-1.774591507,0.075965361,0.165408048,NBL1,4681
ENSG00000158747,119.9714696,-0.43917952,0.247482037,-1.774591507,0.075965361,0.165408048,NBL1,100532736
ENSG00000162542,300.4642882,0.210641611,0.138513839,1.520726108,0.128328584,0.250048451,TMCO4,255104
ENSG00000169914,533.1100181,-0.204095904,0.119200677,-1.712204234,0.086859037,0.184025754,OTUD3,23252
ENSG00000117215,221.1773762,-0.66560423,0.162130222,-4.10536803,4.04E-05,2.03E-04,PLA2G2D,26279
ENSG00000162543,5.185134664,-0.548226584,1.012800586,-0.541297657,0.588302435,0.740807535,UBXN10,127733
ENSG00000162545,14.40975026,0.269126915,0.643648353,0.418127248,0.675854084,0.80537274,CAMK2N1,55450
ENSG00000090432,871.5715376,-0.146856517,0.094268519,-1.557853231,0.119268044,0.236109249,MUL1,79594
ENSG00000158828,393.6430817,-0.554733047,0.132299287,-4.193016135,2.75E-05,1.43E-04,PINK1,65018
ENSG00000244038,11721.16282,0.036054262,0.051921963,0.694393262,0.487435618,0.658711845,DDOST,1650
ENSG00000189410,69.09495453,1.900228849,0.351897168,5.399954934,6.67E-08,5.17E-07,SH2D5,400745
ENSG00000127483,3702.477135,-0.222834854,0.060757432,-3.667614733,2.45E-04,0.001067901,HP1BP3,50809
ENSG00000075151,2233.65979,-0.055163973,0.087567736,-0.62995774,0.528722234,0.692969975,EIF4G3,8672
ENSG00000117298,2826.404046,-0.513563478,0.060844417,-8.440601487,3.16E-17,6.43E-16,ECE1,1889
ENSG00000142794,196.2726077,0.253504445,0.171297822,1.479904661,0.138898692,0.265519849,NBPF3,84224
ENSG00000162551,34.91071461,-1.221692339,0.484588877,-2.521090345,0.011699181,0.034010743,ALPL,249
ENSG00000090686,6564.043996,-0.139270486,0.048290699,-2.884002264,0.003926559,0.013042064,USP48,84196
ENSG00000187942,255.343182,0.762674089,0.147342899,5.176184894,2.26E-07,1.64E-06,LDLRAD2,401944
ENSG00000142798,680.6000655,0.877554073,0.094453644,9.290844032,1.53E-20,4.13E-19,HSPG2,3339
ENSG00000070831,5038.503479,-0.457308625,0.055764621,-8.200694508,2.39E-16,4.54E-15,CDC42,998
ENSG00000184677,785.2852746,0.02326617,0.097640207,0.238284723,0.81166027,0.893784168,ZBTB40,9923
ENSG00000004487,4047.698975,0.121265592,0.059264316,2.046182263,0.040738442,0.098993231,KDM1A,23028
ENSG00000169641,541.5810521,-0.370738485,0.113034492,-3.279870398,0.001038548,0.003959291,LUZP1,7798
ENSG00000125944,6720.742898,-0.143454207,0.048849184,-2.936675628,0.003317509,0.011274032,HNRNPR,10236
ENSG00000125945,239.5704411,-0.131413587,0.159397765,-0.824438078,0.409690686,0.586636418,ZNF436,80818
