,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,name,ensembl
ENSG00000167595,437.661722013221,0.00660334353104912,0.1227384231401,0.0538001333413881,0.957094403283998,0.989034420986375,PROSER3,ENSG00000167595
ENSG00000180011,364.885641149016,0.00888294351180115,0.165402872094292,0.0537048927828604,0.957170284552844,0.989034420986375,ZADH2,ENSG00000180011
ENSG00000065413,1080.25073176724,0.00569824145883737,0.106352402535243,0.0535788691463654,0.957270692303454,0.989034420986375,ANKRD44,ENSG00000065413
ENSG00000134324,5466.85937070594,0.0151506217597134,0.283501557920635,0.0534410529199095,0.957380496428151,0.989034420986375,LPIN1,ENSG00000134324
ENSG00000188921,355.327805956702,-0.0105081531291682,0.196683102307347,-0.0534268221616089,0.957391834732447,0.989034420986375,HACD4,ENSG00000188921
ENSG00000137802,447.840669135965,0.00911662248655807,0.170753430780149,0.0533905670000624,0.957420720937912,0.989034420986375,MAPKBP1,ENSG00000137802
ENSG00000129625,1610.30016882786,-0.00978423910646923,0.183941863503731,-0.0531920190439451,0.957578914495017,0.989034420986375,REEP5,ENSG00000129625
ENSG00000187239,9736.99097732572,0.00589463378167082,0.110818262982038,0.0531918983663031,0.957579010645724,0.989034420986375,FNBP1,ENSG00000187239
ENSG00000122687,1641.54337553847,-0.00485174260283098,0.091458017316194,-0.0530488495727745,0.957692986149368,0.989034420986375,MRM2,ENSG00000122687
ENSG00000166263,375.110282151743,0.00933236504263069,0.175922460721189,0.0530481724981162,0.95769352561718,0.989034420986375,STXBP4,ENSG00000166263
ENSG00000124208,3115.75826799333,-0.00432571416294748,0.0815626193567052,-0.0530354983332431,0.957703623922188,0.989034420986375,TMEM189-UBE2V1,ENSG00000124208
ENSG00000166750,136.233088175746,-0.0136288027674858,0.257368123553522,-0.0529545095923722,0.95776815291058,0.989034420986375,SLFN5,ENSG00000166750
ENSG00000163002,509.715419383,-0.00720977394946427,0.136453333707097,-0.0528369205324096,0.957861844242121,0.989034420986375,NUP35,ENSG00000163002
ENSG00000104904,32532.8291599658,-0.00561840562983262,0.106336739498214,-0.052835978010469,0.957862595216849,0.989034420986375,OAZ1,ENSG00000104904
ENSG00000143924,2442.87514767094,-0.00624888458705349,0.11881101320747,-0.0525951628418618,0.958054471131121,0.989034420986375,EML4,ENSG00000143924
ENSG00000213281,2636.10695765595,-0.0075014492483897,0.142734750734828,-0.0525551711112443,0.958086335845695,0.989034420986375,NRAS,ENSG00000213281
ENSG00000262112,196.012008584231,-0.0108786437949062,0.207622848794509,-0.0523961782533536,0.958213019248202,0.989034420986375,AC015912.1,ENSG00000262112
ENSG00000254536,764.497267784535,0.0173964318190506,0.33302945247511,0.0522369168545258,0.958339917678597,0.989034420986375,AL360181.3,ENSG00000254536
ENSG00000115524,13518.2800543338,-0.00364547441465307,0.069944939503734,-0.0521192017681058,0.958433712960461,0.989034420986375,SF3B1,ENSG00000115524
ENSG00000198954,196.829745696958,0.0233400993378065,0.449070674188226,0.0519742229438558,0.958549232756372,0.989034420986375,KIF1BP,ENSG00000198954
ENSG00000128271,2873.25206711526,-0.00554770520233885,0.106739771792315,-0.0519741152635504,0.95854931855686,0.989034420986375,ADORA2A,ENSG00000128271
