,SLX.13194.A002,SLX.13194.A003,SLX.13194.A004,SLX.13194.A005,SLX.13194.A006,SLX.13194.A008,SLX.13194.A009,SLX.13194.A010,SLX.13194.A011,SLX.13194.A012
ENSG00000253722,135.553214452833,189.924918972584,204.480709065785,118.405299188137,188.013871319705,160.606020202058,162.822749352531,223.469133493927,181.237516199649,140.451032781342
ENSG00000164953,149.973769181858,240.224669202766,174.273331590158,119.692313309747,172.502726935829,163.617383080846,218.921343667269,246.638174090288,163.868920897183,269.665982940176
ENSG00000164951,366.28209011723,321.744954058578,398.505018236161,505.796549792802,411.280343511854,458.730945202127,514.465157618081,398.358020576131,555.795049678925,491.578614734696
ENSG00000197275,485.972694368136,443.158144269362,429.87421792239,432.436744861022,537.719671974356,360.359757828367,480.258697670071,445.443490175186,400.988004591724,283.71108621831
ENSG00000265817,413.148892986561,387.654971601575,367.135818549933,391.252292969496,447.943048419197,316.193102272801,421.423586559492,396.115855357128,330.003310746861,264.047941628922
ENSG00000164944,3148.72812508257,2628.59556806348,2652.4401068022,2593.33345504452,2632.66423315417,2178.21914899041,2579.16708008001,2613.61725695071,2886.20744547942,2266.87966909085
ENSG00000156162,398.728338257536,399.796290622654,357.841240865124,290.865191483901,402.349684624168,355.340819697053,424.160103355333,444.696101768852,327.737841794366,370.790726542742
ENSG00000164941,4212.24403634815,2997.1713240605,3125.30174651683,2891.92073125808,2982.37003380882,3355.66203459674,3155.20386560451,2913.32000789073,3079.52746275904,2811.82967628246
ENSG00000175305,3135.74962582645,1995.51250482153,2557.17068553292,1562.43514363476,1757.45966216094,2686.13568787942,2378.03309558571,1885.6609491812,1567.70451512697,1387.65620387965
ENSG00000156170,697.954848884801,635.684774460748,605.309371723149,688.552555061448,731.843994111951,771.91268459614,517.201674413922,568.015188813996,731.746471656084,651.692792105425
ENSG00000164938,929.404752285649,465.706308165651,388.048618340752,710.431795128821,700.821705344199,897.386137878998,515.833416016002,547.088313436638,1297.35855346249,623.602585549157
ENSG00000175895,2980.00763475298,1789.97731853613,2021.57064644583,2178.91490788604,2178.61073391708,2523.52209242483,1979.86990179086,1760.09969691705,2461.80959504524,2025.30389270695
