Id,entrezgene_id,Mutu_HL_Ratio,Mutu_Intensity,MutuSignif,U2932_HL_Ratio,U2932_Intensity,U2932Signif
HMGB1,3146,3.3753,58408000,FALSE,0.72976,171010000,FALSE
SSB,6741,3.3626,93355000,FALSE,NA,NA,NA
RFC3,5983,3.2591,49268000,FALSE,NA,NA,NA
TRIM28,10155,3.2389,160800000,FALSE,1.3804,215700000,FALSE
SF3B1,23451,3.2337,29222000,FALSE,1.6288,76017000,FALSE
TBL2,26608,3.1997,3538600,FALSE,1.1575,11015000,FALSE
PDE6H,5149,3.1944,106130000,FALSE,1.2543,8869900000,FALSE
RFC5,5985,3.1513,66867000,FALSE,NA,NA,NA
RPIA,22934,3.1105,6440200,FALSE,1.1337,50976000,FALSE
COPE,11316,3.1018,13121000,FALSE,0.88882,263570000,FALSE
RPL22,6146,3.0985,53203000,FALSE,0.73612,203200000,FALSE
SET,6418,3.0643,136420000,FALSE,1.1666,46897000,FALSE
RPS19,6223,3.0611,172890000,FALSE,1.1572,518910000,FALSE
TKT,7086,3.0442,169090000,FALSE,1.4481,135030000,FALSE
CDC23,8697,3.0417,8826000,FALSE,2.7171,26759000,FALSE
ANKRD44,91526,3.0145,12744000,FALSE,NA,NA,NA
RPS12,6206,2.9826,93859000,FALSE,1.1307,607840000,FALSE
PPP2R1A,5518,2.9801,143440000,FALSE,1.1646,334150000,FALSE
DOCK2,1794,2.9089,21581000,FALSE,0.88623,1435000000,FALSE
G3BP1,10146,2.8472,6999500,FALSE,2.0425,170120000,FALSE
CPSF3,51692,2.8456,10577000,FALSE,3.2879,314550000,FALSE
PPP2CA,5515,2.8403,22730000,FALSE,NA,NA,NA
MRPL13,28998,2.8051,7251100,FALSE,NA,NA,NA
H3F3B,3021,2.802,382980000,FALSE,NA,NA,NA
MYL12A,10627,2.7736,41641000,FALSE,1.1787,2039200000,FALSE
PLCG2,5336,2.7481,365370000,FALSE,1.1903,986890000,FALSE
MCM6,4175,2.7172,3736000,FALSE,0.74309,178960000,FALSE
GPI,2821,2.6936,185580000,FALSE,NA,NA,NA
VPS16,64601,2.6902,7612500,FALSE,NA,NA,NA
ATAD3A,55210,2.6886,93527000,FALSE,1.0911,3954500000,FALSE
HNRNPA1,3178,2.6623,69083000,FALSE,0.6861,391140000,FALSE
DYNLL1,8655,2.6553,36099000,FALSE,1.3374,1035800000,FALSE
BUB3,9184,2.6489,56891000,FALSE,NA,NA,NA
PRPF19,27339,2.6304,225820000,FALSE,0.87067,29315000,FALSE
GMPS,8833,2.6261,14470000,FALSE,1.2941,361110000,FALSE
TAX1BP1,8887,2.598,26408000,FALSE,NA,NA,NA
RPS5,6193,2.5922,122780000,FALSE,1.1485,532900000,FALSE
XRCC5,7520,2.5711,62422000,FALSE,0.72128,672330000,FALSE
SND1,27044,2.5641,17283000,FALSE,1.085,581810000,FALSE
KPNA3,3839,2.5361,7573300,FALSE,NA,NA,NA
NPM1,4869,2.4883,1238700000,FALSE,0.84782,757270000,FALSE
EPRS,2058,2.4549,87454000,FALSE,0.75759,1654700000,FALSE
COPB2,9276,2.4169,14677000,FALSE,0.86215,238730000,FALSE
ISG20,3669,2.4146,29129000,FALSE,1.1263,85116000,FALSE
RCC2,55920,2.4101,84788000,FALSE,1.4469,1270500000,FALSE
SMC2,10592,2.4034,22347000,FALSE,0.99916,97453000,FALSE
DPM1,8813,2.3983,9841100,FALSE,1.1459,81595000,FALSE
LARP4,113251,2.3963,10273000,FALSE,NA,NA,NA
XRCC6,2547,2.3938,71513000,FALSE,0.69255,698870000,FALSE
MYH10,4628,2.3003,10791000,FALSE,1.1521,1.0276E+11,FALSE
RAE1,8480,2.2651,9338200,FALSE,NA,NA,NA
RPS10,6204,2.262,58045000,FALSE,0.90799,70866000,FALSE
HNRNPA2B1,3181,2.2597,148830000,FALSE,0.59855,314260000,FALSE
RFC2,5982,2.2593,58815000,FALSE,NA,NA,NA
PPP1CC,5501,2.2562,4259900,FALSE,1.0994,352530000,FALSE
