Sample,SampleALT,Experiment,Batch,Condition,Replicate,Cell_line,Treatment,Time,Treatment2,SLX,Corresponding ,Merged
SLX.13458.A006,SLX-13458.A006,Ribo,2,Mutu_DY_24,2,Mutu,shY,24,shY,SLX.13458,,0
SLX.13460.A001,SLX-13460.A001,Ribo,2,U2932_ctl_24,2,U2932,ctl,24,ctl,SLX.13460,,0
SLX.13460.A002,SLX-13460.A002,Ribo,2,U2932_sh1_24,2,U2932,sh1,24,sh,SLX.13460,,0
SLX.13460.A003,SLX-13460.A003,Ribo,2,U2932_sh2_24,2,U2932,sh2,24,sh,SLX.13460,,0
SLX.14241.A002,SLX-14241.A002,Ribo,2,U2932_sh1_24,2,U2932,sh1,24,sh,SLX.14241,SLX.13199.A006,1
SLX.14293.A002,SLX-14293.A002,Ribo,1,U2932_sh1_24,1,U2932,sh1,24,sh,SLX.14293,SLX.14296.A002,1
SLX.14296.A002,SLX-14296.A002,RNA,2,U2932_sh1_24,2,U2932,sh1,24,sh,SLX.14296,SLX.14293.A002,1
SLX.12465.A011,SLX-12465.A011,RNA,1,U2932_sh1_48,1,U2932,sh1,48,sh,SLX.12465,SLX.12470.A005,1
SLX.12470.A005,SLX-12470.A005,Ribo,1,U2932_sh1_48,1,U2932,sh1,48,sh,SLX.12470,SLX.12465.A011,1
SLX.13199.A009,SLX-13199.A009,RNA,2,U2932_sh1_48,2,U2932,sh1,48,sh,SLX.13199,SLX.13454.A002,1
SLX.14245.A003,SLX-14245.A003,Ribo,2,U2932_sh2_48,2,U2932,sh2,48,sh,SLX.14245,,0
SLX.14245.A008,SLX-14245.A008,Ribo,2,Mutu_ctl_48,2,Mutu,ctl,48,ctl,SLX.14245,,0
SLX.14245.A009,SLX-14245.A009,Ribo,2,Mutu_DY_48,2,Mutu,shY,48,shY,SLX.14245,,0
SLX.14293_2.A001,SLX-14293_2.A001,Ribo,1,U2932_ctl_24,1,U2932,ctl,24,ctl,SLX.14293_2,,0
SLX.14293_2.A002,SLX-14293_2.A002,Ribo,1,U2932_sh1_24,1,U2932,sh1,24,sh,SLX.14293_2,,0
SLX.14293_2.A003,SLX-14293_2.A003,Ribo,1,U2932_sh2_24,1,U2932,sh2,24,sh,SLX.14293_2,,0
SLX.14293_2.A004,SLX-14293_2.A004,Ribo,1,Mutu_ctl_48,1,Mutu,ctl,48,ctl,SLX.14293_2,,0
SLX.14293_2.A005,SLX-14293_2.A005,Ribo,1,Mutu_sh1_48,1,Mutu,sh1,48,sh,SLX.14293_2,,0
SLX.14293_2.A006,SLX-14293_2.A006,Ribo,1,Mutu_sh2_48,1,Mutu,sh2,48,sh,SLX.14293_2,,0
SLX.13454.A002,SLX-13454.A002,Ribo,2,U2932_sh1_48,2,U2932,sh1,48,sh,SLX.13454,SLX.13199.A009,1
SLX.12465.A009,SLX-12465.A009,RNA,1,U2932_sh2_24,1,U2932,sh2,24,sh,SLX.12465,,1
